customer_id,customer_name,segment,city,region,signup_date
117,Landon Wood,Consumer,Liverpool,North,2024-12-17
118,Connor Young,Premium,Nottingham,Central,2024-12-28
119,Landon Cook,Consumer,London,South,2024-12-03
120,Nolan Simmons,Consumer,Liverpool,North,2024-10-25
121,Robert Alexander,Corporate,Cambridge,East,2024-10-16
122,Joshua Price,Premium,Stoke,Central,2024-01-23
123,Nolan Cox,Consumer,Sheffield,North,2024-09-12
124,Aurora Jackson,Consumer,Canterbury,South,2024-10-06
125,Thomas Flores,Consumer,Brighton,South,2024-02-01
126,Oliver Wilson,Consumer,Luton,East,2024-02-04
127,Joseph Sanchez,Consumer,Southampton,South,2024-12-14
128,Joseph Thomas,Consumer,Manchester,North,2024-02-13
129,Violet Davis,Consumer,Nottingham,Central,2024-04-07
130,Savannah Cooper,Consumer,London,South,2024-03-09
131,Zoe Jones,Small Business,Norwich,East,2024-08-03
132,Eli Rodriguez,Small Business,Leicester,Central,2024-10-25
133,Layla Henderson,Consumer,Norwich,East,2024-03-01
134,Victoria Moore,Small Business,Northampton,Central,2024-03-06
135,Owen Jackson,Consumer,Bradford,North,2024-09-11
136,Caleb Butler,Premium,York,North,2024-04-10
137,Landon Lewis,Small Business,York,North,2024-05-21
138,Lucy Brown,Consumer,York,North,2024-02-16
139,Ava Ramirez,Consumer,Liverpool,North,2024-07-23
140,Hazel Walker,Consumer,Cambridge,East,2024-06-14
141,Sebastian Myers,Consumer,Brighton,South,2024-08-08
142,William Watson,Corporate,Cambridge,East,2024-03-09
143,David Torres,Consumer,York,North,2024-08-28
144,James Wilson,Corporate,Worcester,West,2024-02-19
145,Joshua Davis,Consumer,London,South,2024-09-18
146,Logan Young,Corporate,Gloucester,West,2024-06-04
147,Abigail Moore,Consumer,Sheffield,North,2024-07-04
148,Alice Carter,Small Business,Derby,Central,2024-06-23
149,David Scott,Premium,Gloucester,West,2024-05-03
150,Aurora Evans,Small Business,Newcastle,North,2024-05-22
